Link Skoob,Nome,Coletado?
https://www.skoob.com.br/estarao-as-prisoes-obsoletas-781437ed786224.html,Estarão as prisões obsoletas?,False
https://www.skoob.com.br/a-liberdade-e-uma-luta-constante-759657ed763290.html,A liberdade é uma luta constante,False
https://www.skoob.com.br/sexo-contra-sexo-ou-classe-contra-classe-170263ed189836.html,Sexo contra sexo ou classe contra classe?,False
https://www.skoob.com.br/mulheres-cultura-e-politica-688191ed690915.html,"Mulheres, cultura e política",False
https://www.skoob.com.br/hibisco-roxo-170442ed190038.html,Hibisco roxo,False
https://www.skoob.com.br/o-genocidio-do-negro-brasileiro-109608ed175233.html,O Genocídio do negro brasileiro,False
https://www.skoob.com.br/feminismo-1274801ed11633420.html,Feminismo,False
https://www.skoob.com.br/racismo-e-fascismo-e-o-corpo-escravizado-e-o-corpo-negro-1243780ed11603585.html,Racismo e fascismo & O corpo escravizado e o corpo negro,False
https://www.skoob.com.br/black-feminist-thought-431886ed489255.html,Black Feminist Thought,False
https://www.skoob.com.br/orwell-1284193ed11642650.html,Orwell,False
https://www.skoob.com.br/como-funciona-o-fascismo-832899ed837678.html,Como funciona o Fascismo,False
https://www.skoob.com.br/como-esmagar-o-fascismo-828129ed832737.html,Como Esmagar o Fascismo,False
https://www.skoob.com.br/fascismo-a-brasileira-1270945ed11629658.html,Fascismo à brasileira,False
https://www.skoob.com.br/fascismo-11667349ed11683771.html,Fascismo,False
https://www.skoob.com.br/conhecimento-pratico-literatura-edicao-24-101461ed112406.html,Conhecimento Prático Literatura Edição 24 ,False
https://www.skoob.com.br/o-ministerio-da-verdade-11905424ed11901453.html,O ministério da verdade,False
https://www.skoob.com.br/essential-novelists-george-orwell-11942320ed11936330.html,Essential Novelists - George Orwell,False
https://www.skoob.com.br/homenagem-a-catalunha-e-recordando-a-guerra-espanhola-12033833ed12021826.html,Homenagem à Catalunha e recordando a Guerra Espanhola,False
https://www.skoob.com.br/a-caminho-de-wigan-18338ed19704.html,A Caminho de Wigan,False
https://www.skoob.com.br/homenagem-a-catalunha-12223931ed12205044.html,Homenagem à Catalunha,False
https://www.skoob.com.br/la-guerra-civil-contada-a-los-jovenes-spanish-edition-1196117ed1192640.html,La Guerra Civil contada a los jóvenes (Spanish Edition),False
https://www.skoob.com.br/a-literatura-os-escritores-e-o-leviata-11972256ed11963971.html,"A literatura, os escritores e o Leviatã",False
https://www.skoob.com.br/viagem-ao-cais-de-wigan-122336948ed122342544.html,Viagem ao cais de Wigan,False
https://www.skoob.com.br/fascismo-858423ed863009.html,Fascismo,False
https://www.skoob.com.br/1984-941ed1235.html,1984,False
https://www.skoob.com.br/como-morrem-os-pobres-e-outros-ensaios-171820ed191547.html,Como morrem os pobres e outros ensaios,False
https://www.skoob.com.br/na-pior-em-paris-e-londres-8392ed9649.html,Na pior em Paris e Londres,False
https://www.skoob.com.br/a-flor-da-inglaterra-3584ed4551.html,A flor da Inglaterra,False
https://www.skoob.com.br/dias-na-birmania-8391ed9648.html,Dias na Birmânia,False
https://www.skoob.com.br/uma-vida-em-cartas-331139ed371052.html,Uma Vida em Cartas,False
https://www.skoob.com.br/o-que-e-stalinismo-51474ed56532.html,O Que é Stalinismo,False
https://www.skoob.com.br/kit-a-elite-do-atraso--todos-contra-todos-754342ed757701.html,Kit A Elite do Atraso + Todos Contra Todos,False
https://www.skoob.com.br/fascismo-808334ed812626.html,Fascismo,False
https://www.skoob.com.br/rethinking-antifascism-829431ed834090.html,Rethinking Antifascism,False
https://www.skoob.com.br/as-origens-do-fascismo-114755ed127409.html,As origens do fascismo,False
https://www.skoob.com.br/george-orwell-62100ed68499.html,George Orwell,False
https://www.skoob.com.br/sobre-a-verdade-1238735ed11598993.html,Sobre a Verdade,False
https://www.skoob.com.br/sobre-a-verdade-1264574ed11623530.html,Sobre a verdade,False
https://www.skoob.com.br/liberais-e-antiliberais-628874ed629987.html,Liberais e Antiliberais,False
https://www.skoob.com.br/tribunos-profetas-e-sacerdotes-409348ed464484.html,"Tribunos, Profetas e Sacerdotes",False
https://www.skoob.com.br/o-odio-como-politica-810982ed815443.html,O Ódio Como Política,False
https://www.skoob.com.br/ciberpopulismo-politica-e-democracia-no-mundo-digital-12001441ed11991441.html,Ciberpopulismo: política e democracia no mundo digital,False
https://www.skoob.com.br/ciberpopulismo-11807954ed11808786.html,Ciberpopulismo,False
https://www.skoob.com.br/amanha-vai-ser-pior-12158693ed12140905.html,Amanhã vai ser pior,False
